ID,Accession,Target,TargetID,Experiment,Literature,Tissue
hsa-let-7b-5p,MIMAT0000063,AR,367,CLASH,23622248,Unspecified
hsa-let-7b-5p,MIMAT0000063,ARCN1,372,Proteomics,18668040,Unspecified
hsa-let-7b-5p,MIMAT0000063,RHOB,388,Proteomics//pSILAC,18668040,Unspecified
hsa-let-7b-5p,MIMAT0000063,RHOG,391,Proteomics//pSILAC,18668040,Unspecified
hsa-let-7b-5p,MIMAT0000063,ASNA1,439,CLASH,23622248,Unspecified
hsa-let-7b-5p,MIMAT0000063,ASPA,443,CLASH,23622248,Unspecified
hsa-let-7b-5p,MIMAT0000063,ATOX1,475,CLASH,23622248,Unspecified
hsa-let-7b-5p,MIMAT0000063,ATP1A1,476,CLASH,23622248,Unspecified
hsa-let-7b-5p,MIMAT0000063,ATP2A2,488,CLASH//Proteomics,18668040|23622248,Unspecified
hsa-let-7b-5p,MIMAT0000063,ALDH7A1,501,CLASH,23622248,Unspecified
hsa-let-7b-5p,MIMAT0000063,ATP6V0A1,535,Proteomics//pSILAC,18668040,Unspecified
hsa-let-7b-5p,MIMAT0000063,AUP1,550,CLASH,23622248,Unspecified
hsa-let-7b-5p,MIMAT0000063,BACH1,571,PAR-CLIP,20371350,Unspecified
hsa-let-7b-5p,MIMAT0000063,BCAT1,586,CLASH,23622248,Unspecified
hsa-let-7b-5p,MIMAT0000063,CCND1,595,Annexin V-FITC//immunoblot//Immunoblot//Immunofluorescence//Luciferase reporter assay//Microarray//Northern blot//PAR-CLIP//qRT-PCR//Reporter assay//Western blot,18379589|20133835|23806108|23592263|26701625,Unspecified
hsa-let-7b-5p,MIMAT0000063,BCL7A,605,Microarray//qRT-PCR,18026111,Unspecified
hsa-let-7b-5p,MIMAT0000063,BFSP1,631,CLASH,23622248,Unspecified
hsa-let-7b-5p,MIMAT0000063,BGLAP,632,Proteomics,18668040,Unspecified
hsa-let-7b-5p,MIMAT0000063,PRDM1,639,Immunohistochemistry//Luciferase reporter assay//qRT-PCR//Western blot,20651244,Unspecified
hsa-let-7b-5p,MIMAT0000063,BMP7,655,CLASH,23622248,Unspecified
hsa-let-7b-5p,MIMAT0000063,POLR3D,661,HITS-CLIP,23313552,Unspecified
hsa-let-7b-5p,MIMAT0000063,BNIP3L,665,CLASH,23622248,Unspecified
hsa-let-7b-5p,MIMAT0000063,VPS51,738,Proteomics,18668040,Unspecified
hsa-let-7b-5p,MIMAT0000063,CA12,771,Proteomics,18668040,Unspecified
hsa-let-7b-5p,MIMAT0000063,CALU,813,PAR-CLIP,20371350,Unspecified
hsa-let-7b-5p,MIMAT0000063,CAPG,822,Proteomics//pSILAC,18668040,Unspecified
hsa-let-7b-5p,MIMAT0000063,CBFB,865,Microarray,17699775,Unspecified
hsa-let-7b-5p,MIMAT0000063,CCNA2,890,Immunoblot//Immunofluorescence//Luciferase reporter assay//qRT-PCR,18379589,Unspecified
hsa-let-7b-5p,MIMAT0000063,CCNB1,891,CLASH,23622248,Unspecified
hsa-let-7b-5p,MIMAT0000063,CCND2,894,Immunohistochemistry//Luciferase reporter assay//qRT-PCR//QRTPCR//Western blot,17699775|17942906|23482325,Unspecified
hsa-let-7b-5p,MIMAT0000063,CCND3,896,CLASH,23622248,Unspecified
hsa-let-7b-5p,MIMAT0000063,CCNF,899,CLASH//Microarray,17699775|23622248,Unspecified
hsa-let-7b-5p,MIMAT0000063,CCNG1,900,CLASH,23622248,Unspecified
hsa-let-7b-5p,MIMAT0000063,CCNT2,905,PAR-CLIP,21572407,Unspecified
hsa-let-7b-5p,MIMAT0000063,ENTPD6,955,CLASH,23622248,Unspecified
hsa-let-7b-5p,MIMAT0000063,CD59,966,PAR-CLIP,23446348|20371350,Unspecified
hsa-let-7b-5p,MIMAT0000063,CD81,975,CLASH,23622248,Unspecified
hsa-let-7b-5p,MIMAT0000063,CD151,977,CLASH,23622248,Unspecified
hsa-let-7b-5p,MIMAT0000063,CDC25A,993,Immunohistochemistry//Luciferase reporter assay//Microarray//qRT-PCR//Western blot,19966857|17699775,Unspecified
hsa-let-7b-5p,MIMAT0000063,CDC34,997,Immunoblot//Luciferase reporter assay//Microarray//qRT-PCR//Western blot,19126550|17699775|21252116,Unspecified
hsa-let-7b-5p,MIMAT0000063,CDK6,1021,Luciferase reporter assay//Microarray//Western blot,17699775,Unspecified
hsa-let-7b-5p,MIMAT0000063,CDKN1A,1026,Immunoblot//Microarray//PAR-CLIP//qRT-PCR,21572407|25578966,Unspecified
hsa-let-7b-5p,MIMAT0000063,CDKN1B,1027,Immunoblot//Microarray//qRT-PCR,25578966,Unspecified
hsa-let-7b-5p,MIMAT0000063,CENPB,1059,Proteomics,18668040,Unspecified
hsa-let-7b-5p,MIMAT0000063,CHD1,1105,Proteomics,18668040,Unspecified
hsa-let-7b-5p,MIMAT0000063,CHD3,1107,CLASH//Proteomics,18668040|23622248,Unspecified
hsa-let-7b-5p,MIMAT0000063,CHD4,1108,CLASH//Proteomics,18668040|23622248,Unspecified
hsa-let-7b-5p,MIMAT0000063,CKB,1152,CLASH,23622248,Unspecified
hsa-let-7b-5p,MIMAT0000063,CKS2,1164,CLASH,23622248,Unspecified
hsa-let-7b-5p,MIMAT0000063,AP1S1,1174,PAR-CLIP,23592263|26701625,Unspecified
hsa-let-7b-5p,MIMAT0000063,COL3A1,1281,Luciferase reporter assay//Microarray//qRT-PCR,22995917,Unspecified
hsa-let-7b-5p,MIMAT0000063,COL8A1,1295,PAR-CLIP,23592263,Unspecified
hsa-let-7b-5p,MIMAT0000063,COX6B1,1340,HITS-CLIP,23706177,Unspecified
hsa-let-7b-5p,MIMAT0000063,COX7B,1349,Proteomics,18668040,Unspecified
hsa-let-7b-5p,MIMAT0000063,CRKL,1399,Proteomics,18668040,Unspecified
hsa-let-7b-5p,MIMAT0000063,CRX,1406,PAR-CLIP,26701625,Unspecified
hsa-let-7b-5p,MIMAT0000063,CRY2,1408,PAR-CLIP,23592263|26701625,Unspecified
hsa-let-7b-5p,MIMAT0000063,CS,1431,Proteomics,18668040,Unspecified
hsa-let-7b-5p,MIMAT0000063,CSNK1D,1453,Proteomics//pSILAC,18668040,Unspecified
hsa-let-7b-5p,MIMAT0000063,CSNK2A1,1457,CLASH,23622248,Unspecified
hsa-let-7b-5p,MIMAT0000063,CTBP2,1488,CLASH,23622248,Unspecified
hsa-let-7b-5p,MIMAT0000063,CTPS1,1503,HITS-CLIP//Proteomics,18668040|23313552,Unspecified
hsa-let-7b-5p,MIMAT0000063,CUX1,1523,CLASH,23622248,Unspecified
hsa-let-7b-5p,MIMAT0000063,CYP1A2,1544,CLASH,23622248,Unspecified
hsa-let-7b-5p,MIMAT0000063,CYP2J2,1573,Luciferase reporter assay//qRT-PCR//Western blot,22761738,Unspecified
hsa-let-7b-5p,MIMAT0000063,DCTD,1635,CLASH,23622248,Unspecified
hsa-let-7b-5p,MIMAT0000063,DHX9,1660,CLASH,23622248,Unspecified
hsa-let-7b-5p,MIMAT0000063,DDX10,1662,Proteomics,18668040,Unspecified
hsa-let-7b-5p,MIMAT0000063,DFFA,1676,CLASH,23622248,Unspecified
hsa-let-7b-5p,MIMAT0000063,TIMM8A,1678,Proteomics,18668040,Unspecified
hsa-let-7b-5p,MIMAT0000063,DIAPH1,1729,CLASH//Proteomics,18668040|23622248,Unspecified
hsa-let-7b-5p,MIMAT0000063,DLAT,1737,Proteomics,18668040,Unspecified
hsa-let-7b-5p,MIMAT0000063,DMD,1756,Microarray,17699775,Unspecified
hsa-let-7b-5p,MIMAT0000063,DNA2,1763,PAR-CLIP,23446348,Unspecified
hsa-let-7b-5p,MIMAT0000063,DNAH9,1770,HITS-CLIP,23706177,Unspecified
hsa-let-7b-5p,MIMAT0000063,DYNC1H1,1778,CLASH,23622248,Unspecified
hsa-let-7b-5p,MIMAT0000063,DRG2,1819,Proteomics,18668040,Unspecified
hsa-let-7b-5p,MIMAT0000063,ARID3A,1820,Microarray//PAR-CLIP,17699775|23592263,Unspecified
hsa-let-7b-5p,MIMAT0000063,RCAN1,1827,Microarray,17699775,Unspecified
hsa-let-7b-5p,MIMAT0000063,DSG2,1829,Proteomics,18668040,Unspecified
hsa-let-7b-5p,MIMAT0000063,DSP,1832,CLASH//Proteomics//pSILAC,18668040|23622248,Unspecified
hsa-let-7b-5p,MIMAT0000063,DUSP1,1843,PAR-CLIP,21572407,Unspecified
hsa-let-7b-5p,MIMAT0000063,DVL3,1857,PAR-CLIP,23446348,Unspecified
hsa-let-7b-5p,MIMAT0000063,E2F2,1870,Immunofluorescence//Luciferase reporter assay//qRT-PCR//Western blot,27520092,Unspecified
hsa-let-7b-5p,MIMAT0000063,E2F3,1871,CLASH,23622248,Unspecified
hsa-let-7b-5p,MIMAT0000063,E2F5,1875,Microarray,17699775,Unspecified
hsa-let-7b-5p,MIMAT0000063,E2F6,1876,Microarray//PAR-CLIP,17699775|20371350,Unspecified
hsa-let-7b-5p,MIMAT0000063,EDN1,1906,PAR-CLIP,23592263,Unspecified
hsa-let-7b-5p,MIMAT0000063,EEF1A1,1915,CLASH,23622248,Unspecified
hsa-let-7b-5p,MIMAT0000063,EEF2,1938,CLASH,23622248,Unspecified
hsa-let-7b-5p,MIMAT0000063,EIF4A1,1973,Proteomics,18668040,Unspecified
hsa-let-7b-5p,MIMAT0000063,EIF4A2,1974,Proteomics,18668040,Unspecified
hsa-let-7b-5p,MIMAT0000063,EIF4G2,1982,PAR-CLIP//Proteomics,18668040|23592263|21572407|27292025,Unspecified
hsa-let-7b-5p,MIMAT0000063,ELK4,2005,CLASH,23622248,Unspecified
hsa-let-7b-5p,MIMAT0000063,ENG,2022,Proteomics,18668040,Unspecified
hsa-let-7b-5p,MIMAT0000063,EP300,2033,CLASH,23622248,Unspecified
hsa-let-7b-5p,MIMAT0000063,EPHA4,2043,PAR-CLIP,21572407,Unspecified
hsa-let-7b-5p,MIMAT0000063,ERCC1,2067,CLASH,23622248,Unspecified
hsa-let-7b-5p,MIMAT0000063,ETFA,2108,CLASH,23622248,Unspecified
hsa-let-7b-5p,MIMAT0000063,EZH2,2146,qRT-PCR//Western blot,25611389,Unspecified
hsa-let-7b-5p,MIMAT0000063,F2,2147,Proteomics,18668040,Unspecified
hsa-let-7b-5p,MIMAT0000063,FANCD2,2177,CLASH,23622248,Unspecified
hsa-let-7b-5p,MIMAT0000063,ACSL1,2180,Proteomics,18668040,Unspecified
hsa-let-7b-5p,MIMAT0000063,FEN1,2237,CLASH,23622248,Unspecified
hsa-let-7b-5p,MIMAT0000063,FLII,2314,CLASH,23622248,Unspecified
hsa-let-7b-5p,MIMAT0000063,FLNA,2316,CLASH,23622248,Unspecified
hsa-let-7b-5p,MIMAT0000063,FMO4,2329,HITS-CLIP,23824327,Unspecified
hsa-let-7b-5p,MIMAT0000063,FPR1,2357,HITS-CLIP,23313552,Unspecified
hsa-let-7b-5p,MIMAT0000063,FXN,2395,PAR-CLIP,23592263,Unspecified
hsa-let-7b-5p,MIMAT0000063,GABPB1,2553,HITS-CLIP//PAR-CLIP,23592263|23313552,Unspecified
hsa-let-7b-5p,MIMAT0000063,GALNT2,2590,Proteomics,18668040,Unspecified
hsa-let-7b-5p,MIMAT0000063,GAPDH,2597,CLASH,23622248,Unspecified
hsa-let-7b-5p,MIMAT0000063,GATA6,2627,CLASH,23622248,Unspecified
hsa-let-7b-5p,MIMAT0000063,GATM,2628,PAR-CLIP,26701625,Unspecified
hsa-let-7b-5p,MIMAT0000063,NR6A1,2649,PAR-CLIP,23592263,Unspecified
hsa-let-7b-5p,MIMAT0000063,GLB1,2720,Proteomics,18668040,Unspecified
hsa-let-7b-5p,MIMAT0000063,GLO1,2739,PAR-CLIP//Proteomics,18668040|23592263,Unspecified
hsa-let-7b-5p,MIMAT0000063,GNAS,2778,CLASH,23622248,Unspecified
hsa-let-7b-5p,MIMAT0000063,GNB1,2782,CLASH,23622248,Unspecified
hsa-let-7b-5p,MIMAT0000063,GNG5,2787,PAR-CLIP,20371350|27292025,Unspecified
hsa-let-7b-5p,MIMAT0000063,GOLGA4,2803,PAR-CLIP,20371350,Unspecified
hsa-let-7b-5p,MIMAT0000063,GPI,2821,CLASH,23622248,Unspecified
hsa-let-7b-5p,MIMAT0000063,GPM6B,2824,CLASH,23622248,Unspecified
hsa-let-7b-5p,MIMAT0000063,GPX7,2882,Microarray,17699775,Unspecified
hsa-let-7b-5p,MIMAT0000063,GSK3A,2931,CLASH,23622248,Unspecified
hsa-let-7b-5p,MIMAT0000063,GSPT1,2935,Proteomics,18668040,Unspecified
hsa-let-7b-5p,MIMAT0000063,GSR,2936,CLASH//Proteomics,18668040|23622248,Unspecified
hsa-let-7b-5p,MIMAT0000063,GTF2I,2969,Microarray,17699775,Unspecified
hsa-let-7b-5p,MIMAT0000063,GTF3C1,2975,CLASH,23622248,Unspecified
hsa-let-7b-5p,MIMAT0000063,GYG1,2992,CLASH,23622248,Unspecified
hsa-let-7b-5p,MIMAT0000063,GYS1,2997,Proteomics//pSILAC,18668040,Unspecified
hsa-let-7b-5p,MIMAT0000063,GYS2,2998,Proteomics,18668040,Unspecified
hsa-let-7b-5p,MIMAT0000063,HIST1H1C,3006,CLASH,23622248,Unspecified
hsa-let-7b-5p,MIMAT0000063,HIST1H2BD,3017,PAR-CLIP,24398324|23446348,Unspecified
hsa-let-7b-5p,MIMAT0000063,HADHA,3030,CLASH,23622248,Unspecified
hsa-let-7b-5p,MIMAT0000063,HARS,3035,CLASH,23622248,Unspecified
hsa-let-7b-5p,MIMAT0000063,HCFC1,3054,CLASH,23622248,Unspecified
hsa-let-7b-5p,MIMAT0000063,HTT,3064,CLASH,23622248,Unspecified
hsa-let-7b-5p,MIMAT0000063,HELLS,3070,Proteomics,18668040,Unspecified
hsa-let-7b-5p,MIMAT0000063,HIF1A,3091,CLASH,23622248,Unspecified
hsa-let-7b-5p,MIMAT0000063,HK1,3098,CLASH,23622248,Unspecified
hsa-let-7b-5p,MIMAT0000063,HMGB1,3146,CLASH,23622248,Unspecified
hsa-let-7b-5p,MIMAT0000063,HMGCS1,3157,CLASH,23622248,Unspecified
hsa-let-7b-5p,MIMAT0000063,HMGA1,3159,CLASH//HITS-CLIP//Luciferase reporter assay//Microarray//PAR-CLIP//Proteomics//pSILAC//qRT-PCR//Western blot,18668040|23622248|23798998|23592263|23313552,Unspecified
hsa-let-7b-5p,MIMAT0000063,HNRNPF,3185,CLASH,23622248,Unspecified
hsa-let-7b-5p,MIMAT0000063,HNRNPL,3191,CLASH,23622248,Unspecified
hsa-let-7b-5p,MIMAT0000063,HOXD11,3237,CLASH,23622248,Unspecified
hsa-let-7b-5p,MIMAT0000063,HRAS,3265,Immunoblot//qRT-PCR//Western blot,21252116,Unspecified
hsa-let-7b-5p,MIMAT0000063,AGFG2,3268,CLASH,23622248,Unspecified
hsa-let-7b-5p,MIMAT0000063,HES1,3280,CLASH,23622248,Unspecified
hsa-let-7b-5p,MIMAT0000063,HSF2,3298,CLASH,23622248,Unspecified
hsa-let-7b-5p,MIMAT0000063,HSPA1B,3304,CLASH,23622248,Unspecified
hsa-let-7b-5p,MIMAT0000063,HSPA8,3312,CLASH,23622248,Unspecified
hsa-let-7b-5p,MIMAT0000063,HSP90AA1,3320,CLASH,23622248,Unspecified
hsa-let-7b-5p,MIMAT0000063,IGSF3,3321,Proteomics,18668040,Unspecified
hsa-let-7b-5p,MIMAT0000063,IDI1,3422,Proteomics,18668040,Unspecified
hsa-let-7b-5p,MIMAT0000063,IFNB1,3456,ELISA//Luciferase reporter assay//qRT-PCR,20130213,Unspecified
hsa-let-7b-5p,MIMAT0000063,IFRD1,3475,Proteomics//pSILAC,18668040,Unspecified
hsa-let-7b-5p,MIMAT0000063,IGF1R,3480,Immunohistochemistry//Luciferase reporter assay//PAR-CLIP//QRTPCR//Western blot,23482325|23592263|24398324|23446348|21572407,Unspecified
hsa-let-7b-5p,MIMAT0000063,IGHMBP2,3508,CLASH,23622248,Unspecified
hsa-let-7b-5p,MIMAT0000063,RBPJ,3516,CLASH,23622248,Unspecified
hsa-let-7b-5p,MIMAT0000063,IL6R,3570,PAR-CLIP,27292025,Unspecified
hsa-let-7b-5p,MIMAT0000063,CXCL8,3576,PAR-CLIP,26701625,Unspecified
hsa-let-7b-5p,MIMAT0000063,IMPDH1,3614,Proteomics,18668040,Unspecified
hsa-let-7b-5p,MIMAT0000063,IMPDH2,3615,Proteomics,18668040,Unspecified
hsa-let-7b-5p,MIMAT0000063,INPPL1,3636,Proteomics,18668040,Unspecified
hsa-let-7b-5p,MIMAT0000063,ITGA3,3675,HITS-CLIP,23706177|23313552,Unspecified
hsa-let-7b-5p,MIMAT0000063,ITGB5,3693,CLASH,23622248,Unspecified
hsa-let-7b-5p,MIMAT0000063,KCNC4,3749,CLASH,23622248,Unspecified
hsa-let-7b-5p,MIMAT0000063,KIF2A,3796,Proteomics,18668040,Unspecified
hsa-let-7b-5p,MIMAT0000063,KIFC1,3833,CLASH,23622248,Unspecified
hsa-let-7b-5p,MIMAT0000063,KPNA5,3841,HITS-CLIP//PAR-CLIP,24398324|23446348|21572407|20371350,Unspecified
hsa-let-7b-5p,MIMAT0000063,TNPO1,3842,CLASH,23622248,Unspecified
hsa-let-7b-5p,MIMAT0000063,RPSA,3921,CLASH,23622248,Unspecified
hsa-let-7b-5p,MIMAT0000063,LBR,3930,Proteomics,18668040,Unspecified
hsa-let-7b-5p,MIMAT0000063,LDLR,3949,Proteomics,18668040,Unspecified
hsa-let-7b-5p,MIMAT0000063,LPL,4023,Proteomics,18668040,Unspecified
hsa-let-7b-5p,MIMAT0000063,LTA4H,4048,CLASH,23622248,Unspecified
hsa-let-7b-5p,MIMAT0000063,LYN,4067,PAR-CLIP,23592263,Unspecified
hsa-let-7b-5p,MIMAT0000063,MAB21L1,4081,CLASH,23622248,Unspecified
hsa-let-7b-5p,MIMAT0000063,MXD1,4084,PAR-CLIP,21572407,Unspecified
hsa-let-7b-5p,MIMAT0000063,MAGEA3,4102,PAR-CLIP,27292025,Unspecified
hsa-let-7b-5p,MIMAT0000063,MAGEA6,4105,PAR-CLIP,27292025,Unspecified
hsa-let-7b-5p,MIMAT0000063,MAGEA12,4111,PAR-CLIP,27292025,Unspecified
hsa-let-7b-5p,MIMAT0000063,MAP4,4134,CLASH,23622248,Unspecified
hsa-let-7b-5p,MIMAT0000063,MARS,4141,Proteomics,18668040,Unspecified
hsa-let-7b-5p,MIMAT0000063,MCM4,4173,CLASH,23622248,Unspecified
hsa-let-7b-5p,MIMAT0000063,MCM7,4176,CLASH,23622248,Unspecified
hsa-let-7b-5p,MIMAT0000063,MDM4,4194,CLASH//PAR-CLIP,23622248|23592263|24398324,Unspecified
hsa-let-7b-5p,MIMAT0000063,MEF2C,4208,CLASH,23622248,Unspecified
hsa-let-7b-5p,MIMAT0000063,MEF2D,4209,PAR-CLIP,26701625,Unspecified
hsa-let-7b-5p,MIMAT0000063,MEIS3P1,4213,PAR-CLIP,23592263,Unspecified
hsa-let-7b-5p,MIMAT0000063,CD99,4267,CLASH,23622248,Unspecified
hsa-let-7b-5p,MIMAT0000063,MIPEP,4285,Proteomics,18668040,Unspecified
hsa-let-7b-5p,MIMAT0000063,MLLT1,4298,Proteomics//pSILAC,18668040,Unspecified
hsa-let-7b-5p,MIMAT0000063,MOV10,4343,CLASH,23622248,Unspecified
hsa-let-7b-5p,MIMAT0000063,MPG,4350,Proteomics,18668040,Unspecified
hsa-let-7b-5p,MIMAT0000063,ABCC1,4363,Proteomics,18668040,Unspecified
hsa-let-7b-5p,MIMAT0000063,MSI1,4440,CLASH,23622248,Unspecified
hsa-let-7b-5p,MIMAT0000063,MSN,4478,CLASH,23622248,Unspecified
hsa-let-7b-5p,MIMAT0000063,ATP6,4508,CLASH,23622248,Unspecified
hsa-let-7b-5p,MIMAT0000063,COX1,4512,CLASH,23622248,Unspecified
hsa-let-7b-5p,MIMAT0000063,COX2,4513,CLASH,23622248,Unspecified
hsa-let-7b-5p,MIMAT0000063,COX3,4514,CLASH,23622248,Unspecified
hsa-let-7b-5p,MIMAT0000063,ND1,4535,CLASH,23622248,Unspecified
hsa-let-7b-5p,MIMAT0000063,ND2,4536,CLASH,23622248,Unspecified
hsa-let-7b-5p,MIMAT0000063,ND4,4538,CLASH,23622248,Unspecified
hsa-let-7b-5p,MIMAT0000063,ND4L,4539,CLASH,23622248,Unspecified
hsa-let-7b-5p,MIMAT0000063,ND5,4540,CLASH,23622248,Unspecified
hsa-let-7b-5p,MIMAT0000063,MTRR,4552,Proteomics//pSILAC,18668040,Unspecified
hsa-let-7b-5p,MIMAT0000063,MYC,4609,CLASH//TRAP,23622248|24510096,Unspecified
hsa-let-7b-5p,MIMAT0000063,MYO1C,4641,CLASH,23622248,Unspecified
hsa-let-7b-5p,MIMAT0000063,MYO1E,4643,Proteomics,18668040,Unspecified
hsa-let-7b-5p,MIMAT0000063,NACA,4666,CLASH,23622248,Unspecified
hsa-let-7b-5p,MIMAT0000063,NAP1L1,4673,HITS-CLIP,19536157,Unspecified
hsa-let-7b-5p,MIMAT0000063,NDUFA10,4705,CLASH,23622248,Unspecified
hsa-let-7b-5p,MIMAT0000063,NEDD4,4734,Proteomics//pSILAC,18668040,Unspecified
hsa-let-7b-5p,MIMAT0000063,NFATC1,4772,CLASH,23622248,Unspecified
hsa-let-7b-5p,MIMAT0000063,NFATC3,4775,CLASH,23622248,Unspecified
hsa-let-7b-5p,MIMAT0000063,NFKBIA,4792,CLASH,23622248,Unspecified
hsa-let-7b-5p,MIMAT0000063,NME4,4833,CLASH,23622248,Unspecified
hsa-let-7b-5p,MIMAT0000063,CNOT2,4848,CLASH,23622248,Unspecified
hsa-let-7b-5p,MIMAT0000063,SLC11A2,4891,HITS-CLIP//PAR-CLIP,23592263|23313552,Unspecified
hsa-let-7b-5p,MIMAT0000063,NRAS,4893,Immunohistochemistry//Luciferase reporter assay//Proteomics//qRT-PCR,17699775|19966857|18668040,Unspecified
hsa-let-7b-5p,MIMAT0000063,NRDC,4898,CLASH,23622248,Unspecified
hsa-let-7b-5p,MIMAT0000063,NUCB2,4925,PAR-CLIP,23592263,Unspecified
hsa-let-7b-5p,MIMAT0000063,NVL,4931,Proteomics,18668040,Unspecified
hsa-let-7b-5p,MIMAT0000063,OPRL1,4987,PAR-CLIP,22012620,Unspecified
hsa-let-7b-5p,MIMAT0000063,ORC4,5000,Proteomics,18668040,Unspecified
hsa-let-7b-5p,MIMAT0000063,OXA1L,5018,Proteomics,18668040,Unspecified
hsa-let-7b-5p,MIMAT0000063,PA2G4,5036,CLASH,23622248,Unspecified
hsa-let-7b-5p,MIMAT0000063,PAFAH1B3,5050,Proteomics,18668040,Unspecified
hsa-let-7b-5p,MIMAT0000063,PAFAH2,5051,HITS-CLIP,19536157,Unspecified
hsa-let-7b-5p,MIMAT0000063,PAK1,5058,CLASH,23622248,Unspecified
hsa-let-7b-5p,MIMAT0000063,PAX3,5077,CLASH,23622248,Unspecified
hsa-let-7b-5p,MIMAT0000063,PBX2,5089,PAR-CLIP,26701625,Unspecified
hsa-let-7b-5p,MIMAT0000063,PCBP2,5094,CLASH,23622248,Unspecified
hsa-let-7b-5p,MIMAT0000063,PCCB,5096,Proteomics,18668040,Unspecified
hsa-let-7b-5p,MIMAT0000063,PCYT1A,5130,Proteomics,18668040,Unspecified
hsa-let-7b-5p,MIMAT0000063,PDGFB,5155,PAR-CLIP,27292025,Unspecified
hsa-let-7b-5p,MIMAT0000063,PDGFRA,5156,Luciferase reporter assay//Microarray//qRT-PCR,17942906|22995917,Unspecified
hsa-let-7b-5p,MIMAT0000063,PDK1,5163,Proteomics,18668040,Unspecified
hsa-let-7b-5p,MIMAT0000063,PER1,5187,CLASH,23622248,Unspecified
hsa-let-7b-5p,MIMAT0000063,PEX6,5190,CLASH,23622248,Unspecified
hsa-let-7b-5p,MIMAT0000063,PFKM,5213,CLASH,23622248,Unspecified
hsa-let-7b-5p,MIMAT0000063,PFN1,5216,CLASH,23622248,Unspecified
hsa-let-7b-5p,MIMAT0000063,PGM1,5236,CLASH,23622248,Unspecified
hsa-let-7b-5p,MIMAT0000063,PGM3,5238,Proteomics,18668040,Unspecified
hsa-let-7b-5p,MIMAT0000063,PHKA1,5255,CLASH,23622248,Unspecified
hsa-let-7b-5p,MIMAT0000063,PLAGL2,5326,Microarray//PAR-CLIP,17699775|23592263|26701625,Unspecified
hsa-let-7b-5p,MIMAT0000063,PLCB3,5331,Proteomics,18668040,Unspecified
hsa-let-7b-5p,MIMAT0000063,PLCG2,5336,PAR-CLIP,24398324|23446348,Unspecified
hsa-let-7b-5p,MIMAT0000063,PLK1,5347,CLASH,23622248,Unspecified
hsa-let-7b-5p,MIMAT0000063,PMAIP1,5366,PAR-CLIP,23592263,Unspecified
hsa-let-7b-5p,MIMAT0000063,SEPT4,5414,Proteomics,18668040,Unspecified
hsa-let-7b-5p,MIMAT0000063,POLD2,5425,Proteomics//pSILAC,18668040,Unspecified
hsa-let-7b-5p,MIMAT0000063,POLR2A,5430,CLASH,23622248,Unspecified
hsa-let-7b-5p,MIMAT0000063,POLR2C,5432,Proteomics//pSILAC,18668040,Unspecified
hsa-let-7b-5p,MIMAT0000063,POLR2D,5433,PAR-CLIP,23592263|21572407|26701625,Unspecified
hsa-let-7b-5p,MIMAT0000063,POLR2H,5437,Proteomics,18668040,Unspecified
hsa-let-7b-5p,MIMAT0000063,POLR2L,5441,Proteomics,18668040,Unspecified
